Text,Line
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,1(geš₂) 1(u) guru₇ še\abs
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,e₂\l3 bi-gu₇
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,ma₂ dilmun
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,kur-ta\abs
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,gu₂\l2 ŋeš\abs mu-ŋal₂\dat
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,bad₃ lagaš\gen\abs
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,mu-du₃
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,abzu-ban₃-da\abs
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,mu-du₃
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,{d}nanše nin uru₁₆\abs
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,mu-tud
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,{id₅}REC107\abs
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,mu-dun
ur-{d}nanše lugal lagaš\gen dumu gu-|NI.DU|\gen\erg e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃ eb-gal\abs mu-du₃ e₂ {d}nanše\gen\abs mu-du₃ ki-nir\abs mu-du₃ ba-gara₂\abs mu-du₃ e₂-dam\abs mu-du₃ e₂-ŋidru\abs mu-du₃ šeš-ŋar\abs mu-du₃ ti-ra-aš₂\abs mu-du₃ e₂ {d}ŋa₂-tum₃-dug₃\gen\abs mu-du₃ abzu-eg₂\abs mu-du₃ ud e₂ {d}nin-ŋir₂-su\gen\abs mu-du₃\sub\l1 1(geš₂) 1(u) guru₇ še\abs e₂\l3 bi-gu₇ ma₂ dilmun kur-ta\abs gu₂\l2 ŋeš\abs mu-ŋal₂\dat bad₃ lagaš\gen\abs mu-du₃ abzu-ban₃-da\abs mu-du₃ {d}nanše nin uru₁₆\abs mu-tud {id₅}REC107\abs mu-dun REC107\l1 a\abs mu-na-REC558,REC107\l1 a\abs mu-na-REC558
